cellid,predicted_label
A2_P4_M11,Rejected
A4_P3_M11,1
A4_P4_M11,1
A4_P6_M11,Rejected
A6_P6_M11,1
A7_P2_M11,Rejected
A9_P4_M11,1
B10_P1_M11,1
B10_P3_M11,Rejected
B10_P6_M11,1
B11_P6_M11,Rejected
B12_P3_M11,Rejected
B1_P4_M11,1
B2_P5_M11,Rejected
B3_P5_M11,Rejected
B5_P1_M11,1
B5_P6_M11,1
B6_P1_M11,1
B7_P4_M11,1
C10_P6_M11,Rejected
C11_P4_M11,Rejected
C11_P6_M11,Rejected
C12_P4_M11,1
C1_P3_M11,1
C1_P4_M11,1
C3_P1_M11,Rejected
C4_P1_M11,Rejected
C4_P3_M11,1
C4_P6_M11,1
C6_P4_M11,1
C7_P3_M11,1
C7_P6_M11,1
C8_P5_M11,1
C9_P1_M11,1
C9_P4_M11,Rejected
D10_P1_M11,Rejected
D10_P6_M11,Rejected
D11_P6_M11,1
D12_P6_M11,1
D1_P1_M11,1
D1_P4_M11,1
D2_P4_M11,Rejected
D2_P6_M11,Rejected
D3_P1_M11,Rejected
D3_P6_M11,Rejected
D4_P1_M11,Rejected
D4_P3_M11,1
D4_P4_M11,Rejected
D4_P6_M11,Rejected
D5_P4_M11,1
D6_P1_M11,1
D6_P3_M11,Rejected
D6_P5_M11,1
D6_P6_M11,Rejected
D7_P3_M11,1
D7_P5_M11,1
D9_P3_M11,1
D9_P5_M11,1
E10_P2_M11,Rejected
E12_P6_M11,Rejected
E4_P3_M11,Rejected
E6_P1_M11,Rejected
E7_P1_M11,Rejected
E7_P5_M11,1
E8_P2_M11,Rejected
E8_P5_M11,Rejected
E9_P5_M11,Rejected
F10_P2_M11,Rejected
F10_P3_M11,Rejected
F10_P4_M11,Rejected
F10_P6_M11,1
F11_P6_M11,1
F12_P6_M11,1
F2_P1_M11,Rejected
F3_P1_M11,1
F4_P3_M11,1
F4_P5_M11,Rejected
F5_P1_M11,1
F5_P5_M11,Rejected
F6_P4_M11,1
F6_P5_M11,Rejected
F7_P1_M11,Rejected
F7_P2_M11,1
F8_P5_M11,1
F9_P1_M11,1
F9_P4_M11,Rejected
F9_P6_M11,Rejected
G10_P3_M11,Rejected
G10_P6_M11,1
G12_P4_M11,1
G12_P5_M11,1
G12_P6_M11,Rejected
G1_P1_M11,Rejected
G1_P2_M11,Rejected
G1_P4_M11,1
G2_P3_M11,1
G2_P6_M11,Rejected
G3_P3_M11,0
G3_P4_M11,1
G3_P6_M11,1
G4_P4_M11,1
G4_P6_M11,Rejected
G5_P4_M11,1
G6_P1_M11,Rejected
G6_P3_M11,Rejected
G6_P4_M11,Rejected
G6_P6_M11,1
G7_P4_M11,Rejected
G9_P1_M11,1
H2_P4_M11,Rejected
H3_P1_M11,Rejected
H3_P4_M11,1
H3_P5_M11,1
H3_P6_M11,1
H4_P2_M11,1
H6_P3_M11,1
H6_P4_M11,Rejected
H7_P3_M11,Rejected
H7_P4_M11,Rejected
H8_P1_M11,1
H8_P5_M11,Rejected
H9_P1_M11,1
H9_P3_M11,1
H9_P4_M11,1
H9_P5_M11,1
H9_P6_M11,1
A10_P1_M15,1
A11_P5_M15,1
A12_P1_M15,1
A2_P1_M15,1
A3_P2_M15,1
A3_P6_M15,1
A4_P1_M15,1
A4_P3_M15,1
A4_P6_M15,1
A5_P1_M15,Rejected
A5_P5_M15,1
A6_P1_M15,1
A8_P2_M15,Rejected
A9_P1_M15,Rejected
B10_P4_M15,1
B11_P2_M15,1
B11_P6_M15,1
B1_P1_M15,Rejected
B1_P2_M15,1
B1_P4_M15,1
B2_P2_M15,1
B2_P6_M15,1
B3_P1_M15,1
B4_P3_M15,1
B5_P5_M15,1
B6_P1_M15,1
B7_P1_M15,1
B9_P2_M15,1
B9_P6_M15,1
C11_P5_M15,1
C12_P2_M15,1
C12_P5_M15,Rejected
C12_P6_M15,1
C1_P1_M15,Rejected
C2_P1_M15,Rejected
C2_P2_M15,1
C2_P6_M15,1
C3_P2_M15,1
C4_P2_M15,1
C4_P6_M15,1
C5_P6_M15,Rejected
C6_P2_M15,1
C6_P5_M15,1
C6_P6_M15,1
C7_P1_M15,1
C8_P1_M15,1
C8_P6_M15,1
C9_P1_M15,Rejected
D10_P1_M15,Rejected
D10_P2_M15,Rejected
D10_P4_M15,1
D11_P3_M15,Rejected
D11_P5_M15,1
D12_P1_M15,1
D12_P2_M15,1
D12_P5_M15,1
D1_P1_M15,1
D1_P6_M15,1
D2_P3_M15,1
D3_P2_M15,1
D3_P6_M15,1
D4_P6_M15,1
D5_P1_M15,1
D5_P2_M15,1
D5_P3_M15,1
D6_P6_M15,1
D7_P1_M15,Rejected
D7_P2_M15,1
D7_P5_M15,1
D8_P5_M15,1
D9_P2_M15,1
E10_P1_M15,1
E10_P2_M15,1
E10_P6_M15,1
E11_P1_M15,Rejected
E11_P2_M15,1
E11_P5_M15,Rejected
E11_P6_M15,1
E12_P6_M14,1
E1_P2_M15,1
E1_P4_m15,1
E1_P5_M15,1
E2_P2_M15,1
E3_P1_M15,Rejected
E3_P6_M15,1
E4_P1_M15,1
E4_P2_M15,Rejected
E5_P6_M15,1
E7_P1_M15,Rejected
E8_P2_M15,1
E9_P1_M15,1
F10_P1_M15,1
F10_P2_M15,1
F11_P2_M15,1
F11_P5_M15,1
F12_P1_M15,1
F12_P6_M14,1
F2_P1_M15,1
F2_P6_M15,1
F3_P1_M15,Rejected
F5_P1_M15,Rejected
F5_P5_M15,1
F6_P2_M15,1
F6_P3_M15,1
F6_P5_M15,1
F7_P1_M15,1
F8_P5_M15,1
G10_P1_M15,1
G12_P1_M15,Rejected
G12_P2_M15,Rejected
G1_P1_M15,1
G1_P4_M15,1
G1_P5_M15,1
G3_P5_M15,1
G4_P1_M15,1
G4_P2_M15,1
G5_P1_M15,1
G5_P6_M15,1
